mood,time_of_day,hunger_level,sentiment,snack,snack_group,snack_type,snack_texture
sad,morning,0.14674783189293103,-0.1,chocolate,nigerian_sweet,sweet,soft
happy,evening,0.6929409166199482,0.2,coconut candy,nigerian_sweet,sweet,chewy
hungry,midnight,1.0,0.3,akara,nigerian_fried,savory,soft
tired,afternoon,0.4198051453057903,-0.14,crackers,savory_snacks,savory,crisp
happy,midnight,0.7790044150731674,0.2,puff puff,nigerian_fried,sweet,soft
sad,midnight,0.473931655089634,-0.91,dodo ikire,nigerian_sweet,sweet,soft
happy,midnight,0.7537614045478822,0.2,chin chin,nigerian_fried,sweet,crisp
stressed,midnight,0.35212199499168106,-0.76,coconut candy,nigerian_sweet,sweet,chewy
nostalgic,midnight,0.14578887023044987,0.51,dodo ikire,nigerian_sweet,sweet,soft
tired,morning,0.7756677022116469,-0.1,cheese,healthy_light,light,soft
tired,midnight,0.2612326150446683,-0.1,cheese,healthy_light,light,soft
content,morning,0.21707922541911673,0.66,yogurt,healthy_light,light,soft
excited,morning,0.23701880456326593,0.2,puff puff,nigerian_fried,sweet,soft
sad,midnight,0.00441769369888192,-0.1,cookies,nigerian_sweet,sweet,crisp
content,morning,0.7410407028106792,0.3,cheese,healthy_light,light,soft
sad,morning,0.050846680228818913,-0.38,cookies,nigerian_sweet,sweet,crisp
tired,evening,0.4489947406781609,-0.23,cheese,healthy_light,light,soft
anxious,evening,0.6167737439636488,-0.1,pretzels,savory_snacks,savory,crisp
happy,morning,0.16137536186831697,0.79,puff puff,nigerian_fried,sweet,soft
anxious,morning,0.19943378331909997,-0.18,popcorn,savory_snacks,savory,crisp
happy,evening,0.5558279464317637,0.76,chin chin,nigerian_fried,sweet,crisp
happy,midnight,0.6429376615192917,0.2,pretzels,savory_snacks,savory,crisp
content,midnight,0.2850382704615799,0.81,candy,nigerian_sweet,sweet,chewy
happy,morning,0.6885844666050748,0.2,puff puff,nigerian_fried,sweet,soft
stressed,evening,0.21552986703881719,-0.51,dodo ikire,nigerian_sweet,sweet,soft
tired,midnight,0.2909036819034352,-0.1,yogurt,healthy_light,light,soft
excited,morning,0.11846954396271991,1.0,akara,nigerian_fried,savory,soft
sad,evening,0.22291717138928915,-0.1,coconut candy,nigerian_sweet,sweet,chewy
excited,midnight,0.44231447125706236,0.2,puff puff,nigerian_fried,sweet,soft
stressed,afternoon,0.2942265061754026,-0.1,candy,nigerian_sweet,sweet,chewy
happy,morning,0.12057403517234358,0.2,roasted groundnuts,nigerian_savory,savory,crisp
bored,midnight,0.013270263142284923,0.02,crackers,savory_snacks,savory,crisp
stressed,morning,0.3180576168700179,-0.1,crackers,savory_snacks,savory,crisp
anxious,afternoon,0.7397548946228503,-0.1,crackers,savory_snacks,savory,crisp
